Model,MDO3104
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0,,
Sample Interval,2e-07,,
Record Length,1e+06,,
Gating,70.96500% to 75.0600%,,
Probe Attenuation,10,10,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,5,5,5
Vertical Position,1.18,0,-1.06
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
4.192980e-02,5.3,0.2,0.1
4.193000e-02,5.1,0,0.1
4.193020e-02,5.1,0,0.3
4.193040e-02,5.1,0,0.1
4.193060e-02,5.1,0.2,0.1
4.193080e-02,5.1,0.2,0.1
4.193100e-02,4.9,0,0.1
4.193120e-02,5.1,0.2,0.1
4.193140e-02,4.9,0.2,0.1
4.193160e-02,5.1,0.2,0.1
4.193180e-02,5.1,0,0.1
4.193200e-02,4.9,0,-0.1
4.193220e-02,5.1,0,0.1
4.193240e-02,5.3,0.2,0.1
4.193260e-02,5.3,0.2,0.1
4.193280e-02,5.1,0.2,0.1
4.193300e-02,5.1,0,0.1
4.193320e-02,5.5,0,0.3
4.193340e-02,5.3,0.2,0.1
4.193360e-02,4.9,0,0.3
4.193380e-02,4.9,0.2,0.1
4.193400e-02,4.9,0.2,0.1
4.193420e-02,5.3,0.2,0.1
4.193440e-02,5.5,0.4,-0.1
4.193460e-02,5.3,0,0.3
4.193480e-02,4.9,0.2,0.1
4.193500e-02,5.1,0.2,0.1
4.193520e-02,5.1,0,0.1
4.193540e-02,5.3,0,0.1
4.193560e-02,4.9,0,0.1
4.193580e-02,4.9,0,-0.1
4.193600e-02,5.1,0,0.3
4.193620e-02,4.9,0.2,-0.1
4.193640e-02,5.1,0.2,0.1
4.193660e-02,5.1,0,0.1
4.193680e-02,5.3,0.2,0.1
4.193700e-02,5.1,0,0.1
4.193720e-02,5.1,0.2,0.1
4.193740e-02,5.3,0.2,-0.1
4.193760e-02,5.1,0.2,0.1
4.193780e-02,5.3,0.2,0.1
4.193800e-02,4.9,0.2,0.5
4.193820e-02,4.9,0.2,0.1
4.193840e-02,5.1,0.2,0.1
4.193860e-02,5.3,0.2,0.1
4.193880e-02,5.3,0.2,0.1
4.193900e-02,4.9,0,0.1
4.193920e-02,5.1,0,0.1
4.193940e-02,5.1,0.2,0.1
4.193960e-02,5.1,0.2,0.1
4.193980e-02,5.1,0.2,0.1
4.194000e-02,4.9,0.4,0.1
4.194020e-02,5.1,0.2,0.1
4.194040e-02,5.3,0.2,0.3
4.194060e-02,4.9,0.2,0.1
4.194080e-02,5.1,0.2,0.1
4.194100e-02,5.3,0.2,0.1
4.194120e-02,5.1,0.4,0.1
4.194140e-02,5.1,0,0.1
4.194160e-02,5.3,0,-0.1
4.194180e-02,5.5,0.2,0.3
4.194200e-02,5.3,0.2,0.1
4.194220e-02,4.9,0,0.3
4.194240e-02,5.1,0,0.3
4.194260e-02,5.1,0.2,0.1
4.194280e-02,5.1,0.2,0.1
4.194300e-02,5.1,0.2,0.1
4.194320e-02,5.1,0.2,0.3
4.194340e-02,5.1,0,0.1
4.194360e-02,5.1,0,0.1
4.194380e-02,5.3,0.4,0.1
